,Stock,Title,Date/Time Published,Source,Url,Relevant Texts,Sentiment Score,Match Score
0,A,Agilent Technologies (A) Dips More Than Broader Markets: What You Should Know,2021-12-31T23:00:18.000000Z,zacks.com,https://www.zacks.com/stock/news/1846167/agilent-technologies-a-dips-more-than-broader-markets-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v2-1846167,Agilent Technologies (A) Dips More Than Broader Markets: What You Should Know,0.0,66.15253
1,A,"Worldwide ADME Toxicology Testing Market Outlook to 2026 by Technology, by Product Type, by Method and by Application",2021-12-30T11:15:00.000000Z,prnewswire.com,https://www.prnewswire.com:443/news-releases/worldwide-adme-toxicology-testing-market-outlook-to-2026-by-technology-by-product-type-by-method-and-by-application-301451815.html,"Asia-Pacific... China... Japan... India... South Korea... Australia... Indonesia... Others... Europe... Germany... France... United Kingdom... Italy... Spain... Russia... Others... Latin America... Brazil... Mexico... Others... Middle East and Africa... Competitive Landscape:... The competitive landscape of the industry has also been examined along with the profiles of the key players being:... Agilent
Technologies Inc.",0.31845,28.308453
2,A,Agilent Technologies (A) Outpaces Stock Market Gains: What You Should Know,2021-12-29T23:15:20.000000Z,zacks.com,https://www.zacks.com/stock/news/1845229/agilent-technologies-a-outpaces-stock-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-1845229,Agilent Technologies (A) Outpaces Stock Market Gains: What You Should Know,0.34,68.220314
3,AA,Alcoa (AA) Dips More Than Broader Markets: What You Should Know,2021-12-30T22:45:21.000000Z,zacks.com,https://www.zacks.com/stock/news/1845704/alcoa-aa-dips-more-than-broader-markets-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6-1845704,Alcoa (AA) Dips More Than Broader Markets: What You Should Know,0.0,39.343666
4,AA,Exploring Mining Podcast 234 - (TSXV: OTGO) (NYSE: GOLD) (NYSE: AA) (TSXV: BMR) (TSXV: APN),2021-12-30T17:40:00.000000Z,investorideas.com,https://www.investorideas.com/news/2021/exploring-mining/12301OTGO-GOLD-AA-BMR-APN.asp,"Listen to the podcast:... https://www.investorideas.com/Audio/Podcasts/2021/123021-Mining.mp3... Exploring Mining Podcast 234 - (TSXV: OTGO) (NYSE: GOLD) (NYSE: AA) (TSXV: BMR) (TSXV: APN)... SHARE PODCAST:... Listen to Exploring Mining podcast on iTunes Apple podcasts... Listen to Exploring Mining on Spotify... Barrick Gold Corporation (NYSE:GOLD) has announced
Alcoa Corporation (NYSE:AA) has reached an agreement with workers' representatives at its San Ciprian aluminum plant in Spain ""aimed at resolving ongoing challenges that stem from exorbitant energy prices.""
Alcoa President and CEO Roy Harvey said:... ""With this agreement, we now have a path to resolve the significant challenges that the facility has faced and can begin to build a stronger smelter in two years.
Exploring Mining Podcast 234 - (TSXV: OTGO) (NYSE: GOLD) (NYSE: AA) (TSXV: BMR) (TSXV: APN)",0.503025,117.57611
5,AA,Российский рынок вырос в последний торговый день 2021 года,2021-12-30T16:34:00.000000Z,ru.investing.com,https://ru.investing.com/analysis/article-200289267,"Производитель алюминия Alcoa (NYSE: ) объявил о сокращении мощности своего алюминиевого завода в Испании до 2024 года в связи с высокими ценами на электроэнергию. Производство в Испании будет снижено на 228 тыс. т в год.
Alcoa в 2022-2024 гг. дополнительно выделит $68 млн на капитальные затраты и $35 млн на расходы по перезапуску завода, а также выплатит работникам полную заработную плату и все причитающиеся льготы. Акции Alcoa реагируют небольшим ростом на 0,3%.",,18.541443
6,AAL,U.S. Markets Slide to a Lower Close in a Quiet Finish to a Loud Market Year By Investing.com,2021-12-31T21:01:25.000000Z,investing.com,https://www.investing.com/news/stock-market-news/us-markets-slide-to-a-lower-close-in-a-quiet-finish-to-a-loud-market-year-2728073,"Investors in the airlines themselves seemed unbothered, with Delta and Southwest Airlines (NYSE: ) closing up .5%, while United Airlines (-.4%) and American Airlines (NASDAQ: ) (-.2%) sold off but also not significantly.",0.2263,18.95898
7,AAL,Sector Themes In Play In The Markets For 2022,2021-12-31T15:52:00.000000Z,investing.com,https://www.investing.com/analysis/sector-themes-in-play-in-the-markets-for-2022-200613277,"Delta Air Lines (NYSE: ), United Airlines (NASDAQ: ), Southwest Airlines (NYSE: ) and American Airlines (NASDAQ: ) are airlines to watch, and the U.S.",0.4215,16.726704
8,AAL,Versor Investments LP Purchases New Position in American Airlines Group Inc. (NASDAQ:AAL),2021-12-31T11:00:43.000000Z,etfdailynews.com,https://etfdailynews.com/news/versor-investments-lp-purchases-new-position-in-american-airlines-group-inc-nasdaqaal/,"Versor Investments LP purchased a new stake in American Airlines Group Inc. (NASDAQ:AAL) in the 3rd quarter, HoldingsChannel reports. The firm purchased 20,000 shares of the airline’s stock, valued at approximately $410,000.... A number of other institutional investors also recently made changes to their positions in AAL. Asset Management One Co.
Ltd. boosted its position in American Airlines Group by 168.7% during the second quarter. Asset Management One Co. Ltd. now owns 13,844 shares of the airline’s stock worth $293,000 after purchasing an additional 8,692 shares during the period.
GSA Capital Partners LLP bought a new stake in shares of American Airlines Group in the second quarter valued at approximately $383,000. Teacher Retirement System of Texas boosted its position in shares of American Airlines Group by 46.8% in the second quarter.
Zacks Investment Research cut American Airlines Group from a “hold” rating to a “sell” rating and set a $19.00 price objective for the company. in a research report on Wednesday, December 22nd.
The Goldman Sachs Group cut American Airlines Group from a “neutral” rating to a “sell” rating and reduced their price objective for the company from $19.00 to $18.00 in a research report on Wednesday, October 6th.
Morgan Stanley increased their price objective on American Airlines Group from $21.00 to $23.00 and gave the company an “underweight” rating in a research report on Tuesday, September 14th.
American Airlines Group stock opened at $18.07 on Friday. The stock has a fifty day moving average price of $18.87 and a two-hundred day moving average price of $19.95. American Airlines Group Inc. has a 52-week low of $14.71 and a 52-week high of $26.09.
American Airlines Group (NASDAQ:AAL) last released its quarterly earnings data on Wednesday, October 20th. The airline reported ($0.99) earnings per share (EPS) for the quarter, topping the consensus estimate of ($1.04) by $0.05. The company had revenue of $9 billion for the quarter, compared to analyst estimates of $8.92 billion.
On average, sell-side analysts forecast that American Airlines Group Inc. will post -8.65 EPS for the current fiscal year.... American Airlines Group Company Profile... American Airlines Group, Inc is a holding company, which engages in the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American.
Visit HoldingsChannel.com to get the latest 13F filings and insider trades for American Airlines Group Inc. (NASDAQ:AAL).
Versor Investments LP Purchases New Position in American Airlines Group Inc. (NASDAQ:AAL)",0.224327,165.67332
9,AAON,AAON Stock: Mr.Market Is Showing Irrational Exuberance (NASDAQ:AAON),2021-12-22T13:00:00.000000Z,seekingalpha.com,https://seekingalpha.com/article/4476007-aaon-market-is-showing-irrational-exuberance,AAON Stock: Mr.Market Is Showing Irrational Exuberance (NASDAQ:AAON),-0.34,106.28197
10,AAON,Is Arconic Corporation (ARNC) A Good Stock To Buy?,2021-12-12T04:03:54.000000Z,insidermonkey.com,https://www.insidermonkey.com/blog/is-arconic-corporation-arnc-a-good-stock-to-buy-1014347/,"(NASDAQ:WISH), AAON, Inc. (NASDAQ:AAON), Itron, Inc. (NASDAQ:ITRI), Assured Guaranty Ltd. (NYSE:AGO), and Skyline Champion Corporation (NYSE:SKY). All of these stocks’ market caps resemble ARNC’s market cap.
Ticker No of HFs with positions Total Value of HF Positions (x1000) Change in HF Position GLPG 22 342514 -1 BLKB 16 156265 1 WISH 14 17125 -7 AAON 15 37556 -2 ITRI 19 244768 3 AGO 14 208160 3 SKY 26 424787 3 Average 18 204454 0... View table here if you experience formatting issues.",0.6564,33.873287
11,AAON,Aaon Inc (AAON) President and CEO Gary D Fields Sold $1.6 million of Shares,2021-11-25T12:15:03.000000Z,gurufocus.com,https://www.gurufocus.com/news/1582182/aaon-inc-aaon-president-and-ceo-gary-d-fields-sold-16-million-of-shares,"President and CEO of Aaon Inc (30-Year Financial, Insider Trades) Gary D Fields (insider trades) sold 20,332 shares of AAON on 11/23/2021 at an average price of $78.02 a share. The total sale was $1.6 million.... For the complete insider trading history of AAON, click here
Aaon Inc (AAON) President and CEO Gary D Fields Sold $1.6 million of Shares",0.41135,114.69235
12,AAP,"BlackRock Funds IV Buys International Business Machines Corp, Abbott Laboratories, Union Pacific Corp, Sells Republic Services Inc, Oracle Corp, Juniper Networks Inc",2021-12-28T00:38:02.000000Z,gurufocus.com,https://www.gurufocus.com/news/1604276/blackrock-funds-iv-buys-international-business-machines-corp-abbott-laboratories-union-pacific-corp-sells-republic-services-inc-oracle-corp-juniper-networks-inc,"BlackRock Funds IV initiated holding in Advance Auto Parts Inc. The purchase prices were between $199.26 and $218.46, with an estimated average price of $208.28. The stock is now traded at around $236.500000. The impact to a portfolio due to this purchase was 0.59%. The holding were 15,189 shares as of 2021-09-30.",0.296,20.814337
13,AAP,5 Dividend Stock Picks of Ira Unschuld’s Brant Point Investment,2021-12-24T16:29:20.000000Z,insidermonkey.com,https://www.insidermonkey.com/blog/5-dividend-stock-picks-of-ira-unschulds-brant-point-investment-1012929/,"Advance Auto Parts, Inc. (NYSE:AAP)... Brant Point Investment Stake Value: $11,526,000... Percentage of Brant Point Investment’s 13F Portfolio: 0.99%... Number of Hedge Fund Holders: 35... Dividend Yield: 1.70%... Advance Auto Parts, Inc. (NYSE:AAP) sells auto parts in the United States.
As of the third quarter of 2021, Ken Griffin’s Citadel Investment Group, with 591,694 shares worth $123.60 million, is the largest investor in Advance Auto Parts, Inc. (NYSE:AAP).... In an investor note issued in November, Raymond James analyst Bobby Griffin raised his price target on Advance Auto Parts, Inc.
(NYSE:AAP) to $275 from $265 and kept a “Strong Buy” rating on the shares.... In the third quarter of 2021, Brant Point Investment held 55,177 shares of Advance Auto Parts, Inc. (NYSE:AAP).",0.557967,87.01265
