ticker,start_date,end_date,is_done
A,20180101T0001,20180531T2359,
AA,20180101T0001,20180531T2359,
AAL,20180101T0001,20180531T2359,
AAON,20180101T0001,20180531T2359,
AAP,20180101T0001,20180531T2359,
AAPL,20180101T0001,20180531T2359,
AAWW,20180101T0001,20180531T2359,
AB,20180101T0001,20180531T2359,
ABB,20180101T0001,20180531T2359,
ABBV,20180101T0001,20180531T2359,
ABC,20180101T0001,20180531T2359,
ABCB,20180101T0001,20180531T2359,
ABCL,20180101T0001,20180531T2359,
ABCM,20180101T0001,20180531T2359,
ABEV,20180101T0001,20180531T2359,
ABG,20180101T0001,20180531T2359,
ABM,20180101T0001,20180531T2359,
ABMD,20180101T0001,20180531T2359,
ABNB,20180101T0001,20180531T2359,
ABR,20180101T0001,20180531T2359,
ABT,20180101T0001,20180531T2359,
ACA,20180101T0001,20180531T2359,
ACAD,20180101T0001,20180531T2359,
ACGL,20180101T0001,20180531T2359,
ACH,20180101T0001,20180531T2359,
ACHC,20180101T0001,20180531T2359,
ACI,20180101T0001,20180531T2359,
ACIW,20180101T0001,20180531T2359,
ACLS,20180101T0001,20180531T2359,
ACM,20180101T0001,20180531T2359,
ACN,20180101T0001,20180531T2359,
ACT,20180101T0001,20180531T2359,
ADBE,20180101T0001,20180531T2359,
ADC,20180101T0001,20180531T2359,
ADI,20180101T0001,20180531T2359,
ADM,20180101T0001,20180531T2359,
ADNT,20180101T0001,20180531T2359,
ADP,20180101T0001,20180531T2359,
ADSK,20180101T0001,20180531T2359,
ADT,20180101T0001,20180531T2359,
ADX,20180101T0001,20180531T2359,
AEE,20180101T0001,20180531T2359,
AEG,20180101T0001,20180531T2359,
AEIS,20180101T0001,20180531T2359,
AEL,20180101T0001,20180531T2359,
AEM,20180101T0001,20180531T2359,
AEO,20180101T0001,20180531T2359,
AEP,20180101T0001,20180531T2359,
AER,20180101T0001,20180531T2359,
AES,20180101T0001,20180531T2359,
AFG,20180101T0001,20180531T2359,
AFL,20180101T0001,20180531T2359,
AFRM,20180101T0001,20180531T2359,
AG,20180101T0001,20180531T2359,
AGCO,20180101T0001,20180531T2359,
AGI,20180101T0001,20180531T2359,
AGL,20180101T0001,20180531T2359,
AGNC,20180101T0001,20180531T2359,
